"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"102","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.7","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4362187213289137","0.44914850538450035","0.1372905978646007"
"103","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.75","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4667974987549346","0.4320554844408879","0.0750721114758689"
"104","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.8","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.506413826543036","0.42172535903933356","0.05324304491072104"
"105","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.85","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.545059226581918","0.4135390557516799","0.04061088701030625"
"106","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.9","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5411207913394087","0.39883008224206995","0.034518829406595335"
"107","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.91","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5595154544961856","0.3964587416778761","0.031340544341885504"
"108","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.92","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.561322705765073","0.39438185464321174","0.041041282883378424"
"109","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.93","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5525655521935107","0.39045248985374115","0.031351998813566824"
"110","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.94","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5703765234883922","0.3903704465682911","0.02978333029921222"
"111","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.03","0.95","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.5643959889637757","0.38739597399410824","0.03076063164898083"
